County,County Code,Year,Intent,Deaths,Population,State,Rate
"Orangeburg County, SC",45075,2015,Homicide,14,89208,SC,15.69365976
"Orangeburg County, SC",45075,2017,Homicide,12,87476,SC,13.71804838
"Orangeburg County, SC",45075,2018,Homicide,17,86934,SC,19.55506476
"Orangeburg County, SC",45075,2019,Homicide,18,86175,SC,20.88772846
"Clark County, WA",53011,2011,Homicide,13,433418,WA,2.999413961
"Clark County, WA",53011,2012,Homicide,13,438287,WA,2.966092994
"Clark County, WA",53011,2014,Homicide,15,451008,WA,3.325883355
"Clark County, WA",53011,2016,Homicide,13,467018,WA,2.783618619
"Clark County, WA",53011,2017,Homicide,16,474643,WA,3.370954591
"Clark County, WA",53011,2018,Homicide,15,481857,WA,3.112956749
"Clark County, WA",53011,2019,Homicide,13,488241,WA,2.662619485
"Kenosha County, WI",55059,2015,Homicide,10,168437,WI,5.936937846
"Kenosha County, WI",55059,2019,Homicide,10,169561,WI,5.897582581
"Hernando County, FL",12053,2010,Homicide,11,172778,FL,6.366551297
"Hernando County, FL",12053,2014,Homicide,10,175855,FL,5.686503085
"Hernando County, FL",12053,2017,Homicide,11,186553,FL,5.896447658
"Hernando County, FL",12053,2018,Homicide,11,190865,FL,5.763235795
"Coweta County, GA",13077,2014,Homicide,10,135571,GA,7.376208776
"Montgomery County, TN",47125,2009,Homicide,16,168866,TN,9.474968318
"Montgomery County, TN",47125,2010,Homicide,11,172331,TN,6.383065148
"Montgomery County, TN",47125,2012,Homicide,14,184468,TN,7.589392198
"Montgomery County, TN",47125,2013,Homicide,10,184119,TN,5.431269994
"Montgomery County, TN",47125,2014,Homicide,10,189961,TN,5.264238449
"Montgomery County, TN",47125,2015,Homicide,15,193479,TN,7.752779371
"Montgomery County, TN",47125,2016,Homicide,17,195734,TN,8.685256522
"Montgomery County, TN",47125,2017,Homicide,16,200182,TN,7.992726619
"Montgomery County, TN",47125,2018,Homicide,22,205950,TN,10.68220442
"Montgomery County, TN",47125,2019,Homicide,20,208993,TN,9.569698507
"Dallas County, AL",1047,2010,Homicide,13,43820,AL,29.6668188
"Dallas County, AL",1047,2012,Homicide,11,42864,AL,25.66256066
"Dallas County, AL",1047,2013,Homicide,15,41996,AL,35.7176874
"Dallas County, AL",1047,2014,Homicide,12,41711,AL,28.76938937
"Dallas County, AL",1047,2015,Homicide,11,41131,AL,26.74381853
"Dallas County, AL",1047,2016,Homicide,19,40008,AL,47.4905019
"Dallas County, AL",1047,2017,Homicide,13,39215,AL,33.15058014
"Dallas County, AL",1047,2018,Homicide,18,38310,AL,46.98512138
"Washington County, AR",5143,2015,Homicide,12,225477,AR,5.322050586
"Westchester County, NY",36119,2009,Homicide,24,944201,NY,2.541831665
"Westchester County, NY",36119,2010,Homicide,20,949113,NY,2.107230646
"Westchester County, NY",36119,2011,Homicide,29,955899,NY,3.033793319
"Westchester County, NY",36119,2012,Homicide,21,961670,NY,2.18370127
"Westchester County, NY",36119,2013,Homicide,12,968802,NY,1.23864319
"Westchester County, NY",36119,2014,Homicide,19,972634,NY,1.953458341
"Westchester County, NY",36119,2015,Homicide,21,976396,NY,2.150766697
"Westchester County, NY",36119,2016,Homicide,23,974542,NY,2.360082993
"Westchester County, NY",36119,2017,Homicide,25,980244,NY,2.550385414
"Westchester County, NY",36119,2018,Homicide,15,967612,NY,1.550208141
"Westchester County, NY",36119,2019,Homicide,24,967506,NY,2.480604771
"Beaver County, PA",42007,2009,Homicide,10,170524,PA,5.864277169
"Beaver County, PA",42007,2010,Homicide,10,170539,PA,5.863761368
"Beaver County, PA",42007,2016,Homicide,10,167429,PA,5.972680957
"Richland County, SC",45079,2009,Homicide,33,380245,SC,8.678615103
"Richland County, SC",45079,2010,Homicide,30,384504,SC,7.802259534
"Richland County, SC",45079,2011,Homicide,37,389116,SC,9.508732614
"Richland County, SC",45079,2012,Homicide,24,393830,SC,6.093999949
"Richland County, SC",45079,2013,Homicide,40,399256,SC,10.01863466
"Richland County, SC",45079,2014,Homicide,39,401566,SC,9.711977608
"Richland County, SC",45079,2015,Homicide,38,407051,SC,9.33543954
"Richland County, SC",45079,2016,Homicide,46,409549,SC,11.23186725
"Richland County, SC",45079,2017,Homicide,46,411592,SC,11.17611615
"Richland County, SC",45079,2018,Homicide,53,414576,SC,12.78414573
"Richland County, SC",45079,2019,Homicide,58,415759,SC,13.95038953
"Kanawha County, WV",54039,2009,Homicide,12,193150,WV,6.212787989
"Kanawha County, WV",54039,2010,Homicide,15,193063,WV,7.769484572
"Kanawha County, WV",54039,2011,Homicide,11,192315,WV,5.719782648
"Kanawha County, WV",54039,2012,Homicide,12,192179,WV,6.244178604
"Kanawha County, WV",54039,2014,Homicide,23,190223,WV,12.09107206
"Kanawha County, WV",54039,2015,Homicide,14,188332,WV,7.433680946
"Kanawha County, WV",54039,2016,Homicide,17,186241,WV,9.127957861
"Kanawha County, WV",54039,2017,Homicide,16,183293,WV,8.72919315
"Kanawha County, WV",54039,2018,Homicide,20,180454,WV,11.08315693
"Kanawha County, WV",54039,2019,Homicide,16,178124,WV,8.982506568
"Hillsborough County, FL",12057,2009,Homicide,56,1214050,FL,4.612660105
"Hillsborough County, FL",12057,2010,Homicide,69,1229226,FL,5.613288362
"Hillsborough County, FL",12057,2011,Homicide,69,1267775,FL,5.442606141
"Hillsborough County, FL",12057,2012,Homicide,71,1277746,FL,5.556659931
"Hillsborough County, FL",12057,2013,Homicide,72,1291578,FL,5.574576216
"Hillsborough County, FL",12057,2014,Homicide,67,1316298,FL,5.090032804
"Hillsborough County, FL",12057,2015,Homicide,79,1349050,FL,5.855972722
"Hillsborough County, FL",12057,2016,Homicide,84,1376238,FL,6.103595454
"Hillsborough County, FL",12057,2017,Homicide,80,1408566,FL,5.679535073
"Hillsborough County, FL",12057,2018,Homicide,74,1436888,FL,5.150018651
"Hillsborough County, FL",12057,2019,Homicide,79,1471968,FL,5.366964499
